peer,action,num
43,rotate,3
11,communicate
26,rotate,3
36,eval
12,fit
47,eval
26,fit
24,communicate
33,fit
7,fit
21,rotate,2
47,rotate,2
1,rotate,3
38,communicate
9,communicate
37,rotate,2
1,fit
39,rotate,3
49,eval
23,communicate
24,communicate
20,eval
25,communicate
22,eval
45,rotate,3
30,fit
22,fit
31,eval
6,rotate,3
44,eval
46,rotate,3
3,eval
44,eval
28,rotate,2
18,communicate
29,fit
45,eval
31,fit
2,communicate
27,communicate
2,communicate
12,eval
5,fit
35,eval
29,rotate,3
36,fit
31,eval
32,eval
19,communicate
33,fit
38,eval
43,rotate,2
48,eval
3,fit
7,eval
31,fit
1,rotate,2
46,eval
30,rotate,2
12,eval
2,eval
46,rotate,2
10,eval
21,eval
37,communicate
23,fit
36,communicate
14,rotate,2
23,rotate,2
25,rotate,3
30,communicate
10,rotate,2
16,fit
16,eval
8,fit
30,communicate
28,fit
19,eval
42,eval
47,rotate,2
4,fit
34,fit
40,communicate
33,rotate,3
39,rotate,3
45,communicate
19,fit
49,eval
33,fit
37,rotate,2
46,rotate,3
45,fit
45,fit
44,communicate
4,eval
18,fit
27,rotate,3
21,communicate
18,rotate,2
34,eval
1,communicate
41,communicate
24,communicate
29,rotate,3
41,eval
46,eval
29,fit
43,rotate,2
26,fit
38,communicate
28,eval
9,fit
37,communicate
24,fit
11,communicate
21,fit
7,fit
49,fit
37,rotate,2
38,fit
43,eval
0,fit
10,fit
31,communicate
1,fit
19,fit
33,communicate
46,rotate,3
31,rotate,3
13,rotate,3
3,rotate,3
24,rotate,3
23,communicate
24,fit
2,rotate,2
37,eval
34,rotate,2
11,fit
3,rotate,2
44,fit
29,fit
19,communicate
20,eval
25,rotate,2
32,rotate,3
13,communicate
20,eval
22,fit
45,eval
9,fit
37,rotate,3
42,communicate
35,fit
47,communicate
28,rotate,2
20,eval
42,communicate
33,eval
8,communicate
19,communicate
31,communicate
31,eval
45,rotate,2
13,communicate
26,rotate,2
35,communicate
0,fit
1,fit
8,communicate
15,fit
1,eval
3,fit
0,communicate
7,fit
33,fit
40,fit
16,communicate
27,rotate,3
11,eval
28,rotate,2
40,fit
3,rotate,3
39,communicate
19,communicate
5,communicate
45,eval
35,fit
3,fit
40,rotate,3
36,fit
21,fit
15,fit
41,communicate
32,rotate,3
37,communicate
48,fit
12,fit
26,communicate
4,fit
27,rotate,2
15,eval
37,eval
29,fit
25,eval
28,eval
20,fit
39,fit
5,rotate,3
17,communicate
43,eval
15,communicate
8,communicate
9,fit
15,eval
42,eval
39,communicate
47,communicate
35,fit
42,rotate,3
25,eval
42,fit
4,rotate,2
35,fit
49,fit
19,rotate,3
29,rotate,3
45,communicate
49,fit
44,fit
21,eval
41,communicate
48,fit
49,communicate
41,rotate,2
27,communicate
32,fit
10,eval
37,rotate,2
5,fit
27,communicate
6,fit
24,fit
23,eval
29,communicate
26,rotate,2
12,fit
2,communicate
17,eval
14,rotate,3
45,rotate,3
25,rotate,3
44,rotate,3
22,eval
38,eval
33,communicate
15,fit
0,fit
0,fit
19,fit
20,eval
11,fit
23,fit
22,fit
7,fit
5,communicate
28,rotate,2
18,eval
18,communicate
16,communicate
33,communicate
43,fit
48,rotate,2
45,eval
28,fit
38,fit
7,fit
35,fit
26,fit
30,communicate
15,communicate
5,rotate,2
2,fit
15,fit
31,rotate,2
23,rotate,3
3,rotate,3
34,communicate
4,communicate
9,communicate
44,eval
6,eval
14,fit
49,communicate
4,eval
44,fit
28,rotate,3
48,rotate,3
14,eval
7,communicate
30,rotate,3
34,fit
12,rotate,2
15,fit
6,rotate,2
49,eval
37,fit
40,communicate
8,fit
3,rotate,2
42,fit
25,eval
21,fit
15,communicate
19,eval
44,eval
43,rotate,2
34,rotate,2
20,communicate
46,communicate
1,fit
48,rotate,3
35,eval
26,fit
24,communicate
43,eval
4,eval
30,rotate,2
41,rotate,2
48,eval
46,eval
26,communicate
18,eval
9,communicate
36,rotate,2
39,eval
39,eval
9,eval
15,communicate
8,eval
47,rotate,2
1,communicate
23,communicate
47,fit
1,eval
1,fit
38,eval
28,rotate,2
20,communicate
24,communicate
0,eval
44,rotate,2
1,communicate
24,communicate
43,eval
21,eval
4,rotate,2
5,eval
42,rotate,3
40,rotate,2
18,rotate,2
39,eval
42,rotate,2
11,rotate,2
15,fit
